1943,1943.NSF,
8 Eyes,8eyes.nsf,
A Boy and his Blob,BLOB.NSF,
Adventures in the Magic Kingdom,advmagic.nsf,
Alfred Chicken,ALFRED.NSF,
Alien 3,ALIEN3.NSF,
Alloy Run (C64 port),ALLOYRUN.NSF,
Asterix,ASTERIX.NSF,
Attack of the Killer Tomatoes,ATTACK.NSF,
Balloon Fight,BALLOON.NSF,
Batman,Batman.NSF,
Battletoads,BattleToads.nsf,
Bionic Commando,BionicCommando.nsf,
Blaster Master,BlasterMaster.NSF,
Bomber King (Robowarrior),Bomber King.nsf,
Bubble Bobble,bubbob.nsf,
Captain America and The Avengers,CaptainAmerica.nsf,
Castlevania,castlevania.nsf,
Castlevania II,Castlevania2.nsf,
Akumajo Densetsu (Castlevania III) (VRC6),AKUDEN.NSF,
Chip 'n Dale's Rescue Rangers,ChipnDaleRescueRangers.nsf,
Chip 'n Dale's Rescue Rangers 2,chip2.nsf,
Cobra Triangle,Cobratriangle.nsf,
Code Name Viper,CodenameViper.nsf,
Comic Bakery (C64 port),COMIC.NSF,
Commando,COMMANDO.NSF,
Contra,CONTRA.NSF,
Crash 'n The Boys Street Challenge,CRASH.NSF,
Crystalis,CRYSTALS.NSF,
Darkman,DARKMAN.NSF,
Darkwing Duck,DarkWingDuck.NSF,
Deja Vu,DEJAVU.NSF,
Destiny Of an Emperor,DESTINY.NSF,
Double Dragon,DOUBLEDR.NSF,
Dr. Jekyll and Mr. Hyde,drjekyll.nsf,
DuckTales,DuckTales.nsf,
EarthBound,EarthBound.nsf,
EsperDream 2 (VRC6),ESPER2.NSF,
Faxanadu,Faxanadu.nsf,
Fire Emblem,femblem.nsf,
Fire Emblem Gaiden,femblemg.nsf,
Fester's Quest,Fester'sQuest.NSF,
Final Fantasy III (FC),ff3.nsf,
Friday the 13th,Friday13.nsf,
Fushigi no Umi no Nadia,NADIA.NSF,
Gargoyle's Quest II,Gargoyle'sQuest2.NSF,
